"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2011","     5835.00","     5860.20","     5810.40","     5826.05","      118321855","         5698.58"
"04-Apr-2011","     5842.00","     5918.70","     5833.20","     5908.45","      106392427","         5424.67"
"05-Apr-2011","     5923.85","     5928.65","     5855.85","     5910.05","      110625437","         5386.96"
"06-Apr-2011","     5908.00","     5944.45","     5868.80","     5891.75","      125960708","         6114.96"
"07-Apr-2011","     5888.55","     5906.10","     5866.25","     5885.70","       98160761","         5029.08"
"08-Apr-2011","     5886.75","     5926.95","     5822.00","     5842.00","       99854772","         5071.12"
"11-Apr-2011","     5805.35","     5830.30","     5777.90","     5785.70","       92734132","         4636.40"
"13-Apr-2011","     5747.95","     5923.60","     5735.55","     5911.50","      145699909","         6888.51"
"15-Apr-2011","     5898.75","     5907.35","     5806.45","     5824.55","      140590405","         9198.80"
"18-Apr-2011","     5824.35","     5897.90","     5722.25","     5729.10","      121111083","         7626.14"
"19-Apr-2011","     5716.00","     5762.95","     5693.25","     5740.75","      101237488","         5510.81"
"20-Apr-2011","     5786.05","     5857.35","     5759.65","     5851.65","      117896054","         6097.39"
"21-Apr-2011","     5882.85","     5912.90","     5864.35","     5884.70","      119753918","         7240.13"
"25-Apr-2011","     5859.60","     5906.60","     5857.00","     5874.50","       94377009","         5323.17"
"26-Apr-2011","     5876.85","     5893.20","     5791.55","     5868.40","      117166769","         6155.73"
"27-Apr-2011","     5884.20","     5892.35","     5819.95","     5833.90","      108740523","         5893.38"
"28-Apr-2011","     5851.35","     5856.40","     5776.95","     5785.45","      159344933","         8773.70"
"29-Apr-2011","     5782.50","     5804.30","     5706.05","     5749.50","      184751755","         7259.00"
"02-May-2011","     5766.90","     5775.25","     5687.70","     5701.30","       86514383","         4614.18"
"03-May-2011","     5689.70","     5710.80","     5554.85","     5565.25","      125522829","         7457.00"
"04-May-2011","     5567.70","     5578.80","     5503.00","     5537.15","      119083244","         6150.25"
"05-May-2011","     5531.60","     5560.30","     5443.65","     5459.85","      126424541","         5953.85"
"06-May-2011","     5477.65","     5564.40","     5472.45","     5551.45","      122684321","         5969.39"
"09-May-2011","     5575.20","     5586.05","     5502.40","     5551.10","       75438946","         3387.89"
"10-May-2011","     5555.55","     5592.90","     5514.55","     5541.25","       88822800","         3931.01"
"11-May-2011","     5547.20","     5574.70","     5525.00","     5565.05","       82509136","         4309.88"
"12-May-2011","     5537.80","     5572.50","     5476.30","     5486.15","       91624740","         4342.75"
"13-May-2011","     5492.35","     5605.00","     5472.15","     5544.75","      119423852","         5690.93"
"16-May-2011","     5541.70","     5541.80","     5487.65","     5499.00","       94219161","         4343.66"
"17-May-2011","     5496.10","     5523.85","     5421.05","     5438.95","      109199263","         6356.90"
"18-May-2011","     5448.20","     5460.50","     5401.25","     5420.60","      107357672","         6250.15"
"19-May-2011","     5448.15","     5452.60","     5411.25","     5428.10","       94180687","         5509.73"
"20-May-2011","     5450.65","     5517.55","     5432.75","     5486.35","      127399855","         5791.89"
"23-May-2011","     5456.70","     5456.70","     5373.00","     5386.55","       94674110","         5037.85"
"24-May-2011","     5385.10","     5422.60","     5367.45","     5394.85","      100052471","         4819.47"
"25-May-2011","     5389.10","     5389.10","     5328.70","     5348.95","       99917758","         5133.01"
"26-May-2011","     5372.75","     5422.20","     5356.35","     5412.35","      161608076","         7601.74"
"27-May-2011","     5413.70","     5485.80","     5413.60","     5476.10","      117233303","         5553.69"
"30-May-2011","     5493.75","     5509.30","     5458.60","     5473.10","      100764849","         4451.38"
"31-May-2011","     5492.00","     5571.60","     5489.70","     5560.15","      149409715","         6946.23"
"01-Jun-2011","     5561.05","     5597.35","     5559.45","     5592.00","       98629277","         4670.86"
"02-Jun-2011","     5529.90","     5568.20","     5521.95","     5550.35","      110949186","         4709.42"
"03-Jun-2011","     5565.70","     5604.95","     5507.20","     5516.75","      101017578","         4757.10"
"06-Jun-2011","     5504.30","     5542.65","     5479.85","     5532.05","       77137320","         3486.68"
"07-Jun-2011","     5509.15","     5570.10","     5507.80","     5556.15","       81858402","         3830.70"
"08-Jun-2011","     5535.25","     5556.60","     5514.90","     5526.85","       92928675","         3869.33"
"09-Jun-2011","     5523.55","     5540.10","     5502.05","     5521.05","       87033655","         3859.17"
"10-Jun-2011","     5518.05","     5521.45","     5457.45","     5485.80","       84190282","         3995.15"
"13-Jun-2011","     5469.85","     5496.70","     5436.95","     5482.80","       80104906","         3807.22"
"14-Jun-2011","     5485.60","     5520.15","     5484.20","     5500.50","       97840485","         4714.26"
"15-Jun-2011","     5494.45","     5499.35","     5438.95","     5447.50","       95878889","         4562.47"
